num_substrates,feature_method,avg_accuracy,avg_classwise_acc,std_err_avg_acc,std_err_avg_classwise_acc,avg_precision,avg_recall,avg_f1_score
3,word2vec_sg,0.8526315789473683,0.8411904761904763,0.051568205,0.082994549,0.8437037037037037,0.8411904761904762,0.8329076587900118
3,fasttext_sg,0.8315789473684209,0.8221428571428572,0.06982368,0.098280569,0.8355555555555556,0.8221428571428572,0.81414383
3,fasttext_cbow,0.8210526315789473,0.8088095238095239,0.097617037,0.11573632946997961,0.8328042328042328,0.8088095238095239,0.8149184802125978
3,lstm_with_attention,0.8315789473684211,0.8342857142857142,0.039385867,0.049495184,0.866031746,0.8342857142857142,0.83410609
3,just_attention,0.8105263157894737,0.7971428571428572,0.063157895,0.088036016,0.8483333333333333,0.7971428571428572,0.8011850894203837
3,vanilla_lstm,0.8526315789473685,0.8483333333333334,0.061378440998371565,0.069955444,0.8757407407407407,0.8483333333333333,0.8420033670033672
3,transformer,0.852631579,0.836666667,0.077352308,0.103655959,0.892592593,0.836666667,0.837968763
4,countvectorizer,0.7586956521739131,0.78625,0.058494018,0.063694203,0.7998611111111111,0.78625,0.7657936507936508
4,doc2vec_dbow,0.8532608695652174,0.8666071428571428,0.044816365495844106,0.044095212,0.8775000000000001,0.8666071428571428,0.8605171299288946
4,doc2vec_dm,0.7072463768115942,0.7121428571428571,0.028102491927051172,0.03398773,0.719107143,0.7121428571428572,0.7023170946700359
4,word2vec_cbow,0.8528985507246377,0.8641071428571427,0.081198231,0.084323539,0.8591269841269842,0.8641071428571429,0.8543540364863894
4,word2vec_sg,0.8528985507246377,0.864107143,0.059737576363840396,0.051980545,0.8681547619047619,0.8641071428571429,0.858467554
4,fasttext_sg,0.8612318840579711,0.8819642857142856,0.064443883,0.058503336,0.8857142857142858,0.8819642857142858,0.8718582887700534
4,fasttext_cbow,0.8528985507246377,0.8525,0.059737576363840396,0.068918856,0.8816612554112553,0.8525,0.8521476309208508
4,lstm_with_attention,0.8536231884057971,0.8525,0.058404178781477925,0.063412723,0.8908080808080809,0.8525,0.8562747701215193
4,just_attention,0.8445652173913043,0.8425,0.085559429,0.10612402495886304,0.8764213564213563,0.8425,0.8413641191969365
4,vanilla_lstm,0.8271739130434783,0.8282142857142857,0.087525314,0.096391527,0.8539041514041514,0.8282142857142856,0.8265870240870241
4,transformer,0.853623188,0.8625,0.075362319,0.078215509,0.870992063,0.8625,0.85932809
5,countvectorizer,0.7333333333333332,0.7702857142857142,0.13333333333333333,0.097256866,0.7981587301587301,0.7702857142857142,0.7330883626177744
5,doc2vec_dbow,0.8666666666666666,0.882,0.037770515,0.052324341703397254,0.8858253968253967,0.882,0.8728033078033078
5,doc2vec_dm,0.6592592592592593,0.673,0.079089469,0.070861175,0.7198571428571429,0.6729999999999999,0.6562469491293019
5,word2vec_cbow,0.8296296296296296,0.8393809523809524,0.037770515,0.022139835943405437,0.8506190476190476,0.8393809523809523,0.8255553335553337
5,word2vec_sg,0.874074074,0.875095238,0.029629629629629624,0.020051860200631478,0.8927936507936508,0.875095238,0.8745797535797536
5,fasttext_sg,0.8592592592592592,0.8606666666666667,0.043192236,0.047573883,0.8777936507936509,0.8606666666666667,0.8598746090510797
5,fasttext_cbow,0.8444444444444444,0.8428095238095239,0.036288736930121156,0.046828049,0.8526825396825396,0.8428095238095237,0.8354735264735265
5,lstm_with_attention,0.8592592592592592,0.8586666666666668,0.063720928,0.053539059,0.9019163059163059,0.8586666666666666,0.8646078424499477
5,just_attention,0.8148148148148149,0.8004761904761905,0.033126933,0.01949766,0.8450952380952381,0.8004761904761905,0.7987825573119691
5,vanilla_lstm,0.8148148148148149,0.8212857142857143,0.066253866,0.090226925,0.8718412698412699,0.8212857142857143,0.8127046352340468
5,transformer,0.874074074,0.872380952,0.050239481,0.028366327,0.900285714,0.872380952,0.876776531
6,countvectorizer,0.6888172043010753,0.7210714285714285,0.057534820073321405,0.066200111,0.7439682539682538,0.7210714285714287,0.691956192
6,doc2vec_dbow,0.8675268817204301,0.8822222222222222,0.042198787394102474,0.041217266572930525,0.8887698412698413,0.8822222222222224,0.8702289377289377
6,doc2vec_dm,0.6427956989247312,0.6528968253968255,0.049655537,0.083857253,0.6280291005291005,0.6528968253968254,0.6210236985236985
6,word2vec_cbow,0.821505376,0.8357936507936508,0.038059048267748724,0.049328222090229676,0.8368386243386242,0.8357936507936508,0.8196296296296296
6,word2vec_sg,0.867741935,0.8758730158730159,0.041360827,0.050563497669249995,0.8912433862433863,0.8758730158730158,0.8671834646834647
6,fasttext_sg,0.8608602150537635,0.8780555555555555,0.044384512719648266,0.041388261,0.8777380952380951,0.8780555555555555,0.8652094202094203
6,fasttext_cbow,0.8344086021505376,0.8475793650793652,0.021191254,0.040291439547142684,0.8562301587301587,0.847579365,0.8333643208643208
6,lstm_with_attention,0.8081720430107527,0.8058333333333334,0.0703939,0.088374504,0.8186640211640211,0.8058333333333333,0.8038119288119289
6,just_attention,0.7950537634408603,0.8090079365079366,0.046961557747974184,0.072421189,0.8346428571428571,0.8090079365079363,0.8020864103217044
6,vanilla_lstm,0.8081720430107527,0.8090873015873015,0.052278857759776094,0.052474574,0.8483814333814333,0.8090873015873016,0.8009875364287128
6,transformer,0.867741935,0.874484127,0.035584738,0.034402176,0.879880952,0.874484127,0.869105432
7,countvectorizer,0.6951871657754012,0.7104761904761905,0.070892321,0.043683535,0.7248330241187384,0.7104761904761904,0.6833970791113649
7,doc2vec_dbow,0.7971479500891266,0.8035374149659864,0.085807356,0.069368278,0.7988775510204082,0.8035374149659865,0.7832426303854875
7,doc2vec_dm,0.6292335115864528,0.6267006802721088,0.057980235,0.025869578,0.6649721706864565,0.6267006802721088,0.6174701862096821
7,word2vec_cbow,0.7611408199643493,0.785952381,0.10311600158843483,0.086953812,0.7825170068027212,0.785952381,0.7665131693703123
7,word2vec_sg,0.8149732620320856,0.8321088435374151,0.084975713,0.058105493,0.8243877551020409,0.832108844,0.8105437419723135
