,high_level_substr,sig_gene_seq
70,beta-glucan,"HTH_AraC|HTH_AraC,8.A.59,3.A.1,3.A.1,CBM54|GH16|CBM4|CBM4|CBM6|CBM4|CBM4,GH16,3.A.1"
71,beta-glucan,"null,GH30_1,GH17,GH3,GH149,GH16,null,null,null,8.A.46,1.B.14"
72,beta-glucan,"GerE,1.B.14,8.A.46,null,GH16,GH3,GH16"
73,beta-glucan,"GH16,1.B.14,8.A.46,null,GH3"
74,beta-glucan,"CBM4,null,null,1.B.14,null,1.B.14"
75,beta-glucan,"null,1.B.14,null,GH30_3,null,GH3"
76,beta-glucan,"null,null,null,GH73,null,null,null,Peptidase_M23,null,null,null,9.B.154,null"
77,beta-glucan,"GH16,1.B.14,9.B.34,2.A.35,GH3,2.A.1,8.A.49,LacI,2.A.1"
78,beta-glucan,"1.B.14,GH1,2.A.2,LacI|Peripla_BP_3"
79,beta-glucan,"3.A.1,null,null,LacI,GH16,GH3,GH18,1.E.19,null,null,null,null,null,HTH_5,3.A.3,9.B.105,null,null,null,null"
80,beta-glucan,"GerE,1.B.14,8.A.46,null,GH16,GH16"
81,beta-glucan,"null,1.B.14,null,GH30_3,null,GH3"
82,beta-glucan,"GH3,HTH_AraC,GH16,1.B.14,8.A.46,null,GH3"
83,beta-glucan,"GH3,GH3,null,1.B.14,null,GH157,HTH_AraC"
84,beta-glucan,"LacI|Peripla_BP_3,3.A.1,3.A.1,3.A.1,GH1"
85,beta-glucan,"GH3,GH158,null,null,1.B.14,GerE"
86,beta-mannan,"GH1,8.A.49,null,null,CE2,GH130,GH130,null,3.A.1,3.A.1,SBP_bac_1,LacI,GH36,null,GH113"
87,beta-mannan,"CBM27|GH26|CBM23,GH3,GH3"
88,beta-mannan,"GH5_4,GH26,GH5_4,null,null,null,1.B.14,CE7,GH26,GH130,2.A.2,null"
89,beta-mannan,"CE2,null,GH3,GH5_7,GH26,null,GH130,2.A.21,GH26,HTH_AraC|HTH_AraC,GH5_2,1.B.14,8.A.46,null,GH27,null,GH9,GH26,null"
90,beta-mannan,"null,GH9,null,GH27,null,null,8.A.46,1.B.14,GH5_2,HTH_AraC|HTH_AraC,GH26,2.A.21,GH130,null,GH26,null,null"
91,beta-mannan,"null,null,2.A.2,GH130,GH36,GH26,GH26,null,null,1.B.14,HTH_AraC|HTH_AraC,null"
92,beta-mannan,"GH26,GH130,2.A.2,null"
93,beta-mannan,"GH5_2,GH27,null,null,8.A.46,1.B.14,HTH_AraC,GH26,2.A.2,GH130,null,GH26,GH5_7,GH97"
94,carrageenan,"null,GH16,null,null,null,null,null,null,1.B.14,null,null,null,null,null,null,GntR,null,null,null,null,null,2.A.1,GntR"
95,carrageenan,"null,null,null,null,null,null,null,null,null,GH16,null,null,null,null,null,2.A.1,null,null,null,null,null,null,GntR,GntR,1.B.14,HTH_AraC|HTH_AraC,GH16,null,null,GH150"
96,carrageenan,"null,null,GH127,GH127,2.A.1,GH127,null,GH129,null,null,null,null,null,null,HTH_AraC|HTH_AraC|HTH_AraC"
97,carrageenan,"null,null,null,null,null,GH110,GH110,null,8.A.46,1.B.14"
98,carrageenan,"null,null,GH16,HTH_18,1.B.14,GntR,GntR,null,null,null,null,null,null,2.A.1,null,null,null,null,null,null,GH16,null,null,null,null,null,null,null,null"
99,carrageenan,"null,TetR_N,GH16|CBM16"
100,carrageenan,"TPR_1,GH5_42,null,null"
101,carrageenan,"GH16,null,null,null,null,null,null,null,HTH_1,null,null,2.A.1,null,null,null,GntR,null,null,null,null,null,GH16|CBM16|CBM16,null,1.B.52,null,TrmB,null,GH16,2.A.21,null,null,null,null,null,null,null,null,null,null,null,null,null,GH16,null,null,null,null,null,GntR"
102,cellulose,"GH48,GH8,GH9|CBM3,CBM4|GH9"
103,cellulose,"GH9,GH9|CBM3,GH5_17,GH9,PL11,GH5_1"
104,cellulose,"CBM3|cohesin|cohesin|cohesin|cohesin|cohesin|cohesin,GH48,GH8,GH9|CBM3,CBM4|GH9,null,GH9,GH9|CBM3,GH5_17,GH9,GH5_7,GH5_1"
105,cellulose,"GH10|CBM6,GH43_29|CBM6,CE1|CBM6,GH43_10|CBM6,GH62|CBM6,GH43_29|CBM6,GH27|CBM6,GH59|CBM6,GH62|CBM6|CE6,GH95|CBM32,CE1|CBM6,GH30_8|CBM6"
106,cellulose,"GH9|CBM3|CBM3,GH9|CBM3"
107,cellulose,"GH5_4,null"
108,cellulose,"GH35,null,GH105,null,null,null,1.B.14,null"
109,cellulose,"GH5_7,GH26,null,null,8.A.46,1.B.14"
110,cellulose,"9.B.33,HTH_AraC|HTH_AraC,GH43_16|CBM6,GH10|CBM6,GH43_29|CBM6,CE1|CBM6,GH43_10|CBM6,GH62|CBM6,GH43_29|CBM6,GH146|CBM22,GH27|CBM6,GH59|CBM6,GH2|CBM6,GH62|CBM6|CE6,GH95|CBM32|CBM6,GH30_8|CBM6"
111,cellulose,"null,GH26|GH5_4,GH5_7,null,null,null,null,1.B.14,HTH_AraC|HTH_AraC,null,2.A.2,GH130,GH26,CE7,null,GH36,GH3,null"
112,cellulose,"null,GH31,GH9,GH26,null,null,null,1.B.14,null,null,null"
113,cellulose,"null,null,1.B.14,GH5_4,HTH_AraC|HTH_AraC,GH36,null"
114,cellulose,"null,GH31,GH5_4,GH26,null,null,null,null,1.B.14"
115,cellulose,"HTH_AraC|HTH_AraC,GH5_38,null,null,GH94,2.A.2,1.B.14,8.A.46,null,null,null,GH36"
116,cellulose,"GT2,4.D.3,GH8,1.B.55"
117,cellulose,"GH48,GH8,GH9|CBM3,CBM4|GH9,null,GH9,GH9|CBM3,GH5_17,GH9,null,PL11,GH5_1"
118,chitin,"null,GH94,GH20,null,GH9,3.A.1,3.A.1,3.A.1,3.A.1,3.A.1,HisKA|HATPase_c|Response_reg|PAS"
119,chitin,"GH35,SIS|SIS,3.A.1,3.A.1,3.A.1,3.A.1,3.A.1,GH1,null,null,PIG-L,GH18"
120,chitin,"GH18,AA10|CBM5|CBM5,GH18|CBM5|CBM5"
121,chitin,"3.A.1,null,PIG-L,null,GH3,3.A.1,3.A.1,SBP_bac_1,null,HTH_5,null,null,null,CBM5,GH18,CBM5|GH18"
122,chitin,"null,null,GH16,null,null,GH3,SIS|SIS,GntR,null,1.A.30,1.A.30,1.B.14,null,null"
123,chitin,"SBP_bac_1,3.A.1,3.A.1,3.A.1,null,CE9,null,null,null"
124,chitin,"null,1.E.2,1.E.2,GH18,HTH_1,AA10"
125,chitin,"GH18|GH18,GH20,PIG-L,8.A.46,1.B.14,GH18,8.A.46,1.B.14,null,LytTR,2.A.1"
126,chitin,"CE4,4.A.3,4.A.3,4.A.3,GH4,null"
127,chitin,"GH18|GH18,GH20,PIG-L,8.A.46,1.B.14,GH18,8.A.46,1.B.14,null,LytTR|LytTR"
128,chitin,"GH18,AA10|CBM5,GH18|CBM5"
129,chitin,"GH18,AA10|CBM5|CBM5,GH18|CBM5|CBM5"
130,chitin,"null,null,4.A.3,4.A.3,4.A.3,HTH_AraC|HTH_AraC,GH4,null"
131,chitin,"1.B.25,null,GH20"
132,chitin,"3.A.1,3.A.1,3.A.1,GH3"
133,fructan,"HTH_AraC,null,null,PfkB,2.A.1,GH32,GH32,null,8.A.46,1.B.14,null,GH32"
134,fructan,"null,null,GH32,4.A.1,LacI,3.A.1,3.A.1,HTH_1,null,HTH_3,2.A.40,null"
135,fructan,"null,4.A.1,null,GH32,LacI"
136,fructan,"GH32,3.A.1,3.A.1,3.A.1,LacI,HTH_Mga|Mga|PRD_Mga"
137,fructan,"GH32,3.A.1,3.A.1,3.A.1,LacI,HTH_Mga|Mga|PRD_Mga"
138,fructan,"GH68,GH32,2.A.3"
139,fructan,"GH32,PfkB,GH32"
140,galactan,"GH1,HTH_6|SIS,null,null,3.A.1,8.A.59,Response_reg|HTH_18|HTH_AraC,3.A.1,3.A.1,3.A.1,null"
141,galactan,"null,null,null,null,GH53,2.A.2,GH42,LacI"
142,galactan,"LacI,1.B.3,GH42,GH53,3.A.1,3.A.1,3.A.1,3.A.1,null"
143,galactan,"1.B.52,LacI,3.A.1,3.A.1,3.A.1,GH42,null"
144,galactan,"SBP_bac_1,3.A.1,3.A.1,GH42,LacI,GH53|CBM61,null,null,null"
145,galactan,"SBP_bac_1,3.A.1,3.A.1,GH42,LacI,2.A.2,null,null,null,null"
146,galactan,"GH2,GH53,null,8.A.46,1.B.14,null,HTH_AraC|HTH_AraC|HTH_AraC"
147,galactan,"GH2,GH53,null,8.A.46,1.B.14,GH147,HTH_AraC|HTH_AraC|HTH_AraC"
148,galactan,"GH53,GH42,3.A.1,3.A.1,3.A.1,LacI|Peripla_BP_3"
149,galactan,"null,null,CBM6|GH86|GH86,1.B.14,null,null,null,null,null,GH16|CBM6"
150,galactomannan,"GH130,LacI,GH130,SBP_bac_1,null,GH27,3.A.1,3.A.1,null,null,CE7,null"
151,galactomannan,"GH130,null,GH5_7,GH27"
152,galactomannan,"null,null,null,null,2.A.2,GH130,GH36,GH26,GH26,null,null,1.B.14,HTH_AraC|HTH_AraC,null"
153,galactomannan,"null,null,CE7,2.A.2,GH130,GH26,GH26,null,null,null,1.B.14,null,null,HTH_AraC|HTH_AraC,null"
154,galactomannan,"2.A.38,TrkA_C|TrkA_C,null,null,null,null,null,GH36,GH29,null,null,1.B.14,HTH_AraC|HTH_AraC,2.A.1,GH29,null,null,9.B.97,2.A.64"
155,galactomannan,"3.A.3,GH2,9.B.36,LacI,SBP_bac_1,3.A.1,3.A.1,null"
156,galactomannan,"2.A.2,GH2,LacI,HTH_AraC|HTH_AraC|HTH_AraC"
157,galactomannan,"LacI,GH42,GH35,3.A.1,3.A.1,SBP_bac_1,null,null,3.A.1"
158,galactomannan,"3.A.1,3.A.1,3.A.1,GH42,LacI,GH53|CBM61"
159,galactomannan,"2.A.2,GH2,LacI"
160,galactomannan,"null,LacI,3.A.1,3.A.1,GH42,3.A.1"
161,galactomannan,"GH42,3.A.1,3.A.1"
162,galactomannan,"null,null,GH130,GH130,null,3.A.1,3.A.1,SBP_bac_1,HTH_AraC|HTH_AraC,8.A.59,null,GH2"
163,galactomannan,"4.A.3,4.A.3,GH1"
164,galactomannan,"null,4.A.1,GH32,LacI,GH13_31"
165,glucomannan,"4.A.3,4.A.3,4.A.3,8.A.49,GntR,null,null,GH26"
166,glucomannan,"GH65,null,GH13,null,8.A.46,1.B.14,LacI,CBM32|CBM32"
167,glucomannan,"null,GH51,null,null,1.B.14,HTH_AraC|HTH_AraC"
168,glycogen,"CBM48|GH13_9,null,null,GT5,GT35"
169,glycogen,"Pyr_redox_2,CBM48|GH13_9,null,null,GT5,GT35,GH13_39,null,null,3.A.1"
170,glycogen,"GT35,GT5,null,CBM48|GH13_11,CBM48|GH13_9"
171,glycosaminoglycan,"LacI,PfkB,null,PL8,null,null,3.A.1,3.A.1,3.A.1,3.A.1,null,PL8,null,GH88,null"
172,glycosaminoglycan,"CBM70|PL8_1,null,PfkB,null,null,4.A.6,GH88,4.A.6,4.A.6,4.A.6,null,PL12_1"
173,glycosaminoglycan,"null,PL12_1,null,null,4.A.6,4.A.6,4.A.6,GH88,null,TrmB,null,null,null,PfkB,null,PL8"
174,glycosaminoglycan,"null,PL12_1,null,null,4.A.6,4.A.6,4.A.6,GH88,null,0040266,null,CHASE2,PfkB,null,DeoRC,null"
175,glycosaminoglycan,"PL8_2,null,null,null,PL29,null,null,8.A.46,1.B.14,null,HTH_AraC,null,null,2.A.6,2.A.6,2.A.6,GH2,null,null,null,null,null,1.B.14,null,GH88,null,PL8_2"
176,glycosaminoglycan,"PL15_2,2.A.1,null,null,null,PL12_2,GH88,8.A.46,1.B.14,null,PL12_2,HTH_AraC|HTH_AraC"
